"","horizontalPosition","verticalPosition","t","mean_vswc","n"
"223","2","503",2020-05-19 11:00:00,0.21569375,16
"224","2","503",2020-05-19 23:00:00,0.215645,20
"225","2","503",2020-05-20 11:00:00,0.211845,20
"226","2","503",2020-05-20 23:00:00,0.211905263157895,19
"227","2","503",2020-05-21 11:00:00,0.2093,18
"228","2","503",2020-05-21 23:00:00,0.21215625,16
"229","2","503",2020-05-22 11:00:00,0.209684210526316,19
"230","2","503",2020-05-22 23:00:00,0.209538095238095,21
"231","2","503",2020-05-23 11:00:00,0.205141176470588,17
"232","2","503",2020-05-23 23:00:00,0.205445,20
"233","2","503",2020-05-24 11:00:00,0.201647058823529,17
"234","2","503",2020-05-24 23:00:00,0.203729411764706,17
"235","2","503",2020-05-25 11:00:00,0.201316666666667,18
"236","2","503",2020-05-25 23:00:00,0.207333333333333,18
"237","2","503",2020-05-26 11:00:00,0.20509375,16
"238","2","503",2020-05-26 23:00:00,0.209709090909091,22
"239","2","503",2020-05-27 11:00:00,0.208117647058824,17
"240","2","503",2020-05-27 23:00:00,0.211261111111111,18
"241","2","503",2020-05-28 11:00:00,0.208573333333333,15
"242","2","503",2020-05-28 23:00:00,0.212727777777778,18
"243","2","503",2020-05-29 11:00:00,0.2104,18
"244","2","503",2020-05-29 23:00:00,0.212441176470588,17
"245","2","503",2020-05-30 11:00:00,0.210152631578947,19
"246","2","503",2020-05-30 23:00:00,0.212272222222222,18
"247","2","503",2020-05-31 11:00:00,0.209652380952381,21
"248","2","503",2020-05-31 23:00:00,0.212133333333333,15
"249","2","503",2020-06-01 11:00:00,0.210011111111111,18
"250","2","503",2020-06-01 23:00:00,0.21195625,16
"251","2","503",2020-06-02 11:00:00,0.209216666666667,18
"252","2","503",2020-06-02 23:00:00,0.211621052631579,19
"253","2","503",2020-06-03 11:00:00,0.208425,20
"254","2","503",2020-06-03 23:00:00,0.21173,20
"255","2","503",2020-06-04 11:00:00,0.208758823529412,17
"256","2","503",2020-06-04 23:00:00,0.21042,20
"257","2","503",2020-06-05 11:00:00,0.206931578947368,19
"258","2","503",2020-06-05 23:00:00,0.209333333333333,18
"259","2","503",2020-06-06 11:00:00,0.208525,4
"260","2","503",2020-06-06 23:00:00,0.204227272727273,11
"261","2","503",2020-06-07 11:00:00,0.198983333333333,18
"262","2","503",2020-06-07 23:00:00,0.196588235294118,17
"263","2","503",2020-06-08 11:00:00,0.192330769230769,13
"264","2","503",2020-06-08 23:00:00,0.192142857142857,14
"265","2","503",2020-06-09 11:00:00,0.189172222222222,18
"266","2","503",2020-06-09 23:00:00,0.19587,20
"267","2","503",2020-06-10 11:00:00,0.193526315789474,19
"268","2","503",2020-06-10 23:00:00,0.198273684210526,19
"269","2","503",2020-06-11 11:00:00,0.195595652173913,23
"270","2","503",2020-06-11 23:00:00,0.201347619047619,21
"271","2","503",2020-06-12 11:00:00,0.198285,20
"272","2","503",2020-06-12 23:00:00,0.202280952380952,21
"273","2","503",2020-06-13 11:00:00,0.20018125,16
"274","2","503",2020-06-13 23:00:00,0.199647368421053,19
"275","2","503",2020-06-14 11:00:00,0.196453333333333,15
