"","t","mean_nsae_h2o","n","na","percent_complete"
"157",2020-07-22 03:00:00,NA,24,24,0
"158",2020-07-22 15:00:00,NA,24,24,0
"159",2020-07-23 03:00:00,NA,24,24,0
"160",2020-07-23 15:00:00,NA,24,24,0
"161",2020-07-24 03:00:00,NA,24,24,0
"162",2020-07-24 15:00:00,NA,24,24,0
"163",2020-07-25 03:00:00,NA,24,24,0
"164",2020-07-25 15:00:00,NA,24,24,0
"165",2020-07-26 03:00:00,NA,24,24,0
"166",2020-07-26 15:00:00,NA,24,24,0
"167",2020-07-27 03:00:00,NA,24,24,0
"168",2020-07-27 15:00:00,NA,24,24,0
"169",2020-07-28 03:00:00,NA,24,24,0
"170",2020-07-28 15:00:00,NA,24,24,0
"171",2020-07-29 03:00:00,NA,24,24,0
"172",2020-07-29 15:00:00,NA,24,24,0
"173",2020-07-30 03:00:00,NA,24,24,0
"174",2020-07-30 15:00:00,NA,24,24,0
"175",2020-07-31 03:00:00,NA,24,24,0
"176",2020-07-31 15:00:00,NA,18,18,0
